JD,Magnitude,Band
2456570.37153,6.1,Vis.
2455216.7347,6.2,Vis.
2457131.94583,6.3,Vis.
2455211.28819,6.4,Vis.
2455215.25,6.4,Vis.
2455219.25,6.4,Vis.
2455224.26,6.4,Vis.
2455424.5,6.4,Vis.
2456168.5,6.4,Vis.
2456545.42,6.4,Vis.
2456560.69375,6.4,Vis.
2458070.3,6.4,Vis.
2458106.3,6.4,Vis.
2458847.3,6.4,Vis.
2458857.32986,6.4,Vis.
2458865.20764,6.4,Vis.
2455211.2465,6.5,Vis.
2456543.33333,6.5,Vis.
2456550.45,6.5,Vis.
2456556.36759,6.5,Vis.
2456557.4,6.5,Vis.
2456559.4,6.5,Vis.
2456562.32917,6.5,Vis.
2456563.50394,6.5,Vis.
2456568.3313,6.5,Vis.
2456585.3,6.5,Vis.
2457710.3,6.5,Vis.
2458082.27,6.5,Vis.
2458848.3,6.5,Vis.
2458853.3,6.5,Vis.
2455209.3,6.6,Vis.
2456179.31389,6.6,Vis.
2456187.28681,6.6,Vis.
2456542.38681,6.6,Vis.
2456542.42,6.6,Vis.
2456544.3,6.6,Vis.
2456544.4,6.6,Vis.
2456548.6632,6.6,Vis.
2456554.4,6.6,Vis.
2456562.39,6.6,Vis.
2456564.56,6.6,Vis.
2456568.2875,6.6,Vis.
2456568.61,6.6,Vis.
2457132.3,6.6,Vis.
2457135.34931,6.6,Vis.
2457715.2,6.6,Vis.
2458841.2,6.6,Vis.
2458845.22917,6.6,Vis.
2457693.259,6.66,Vis.
2455202.4,6.7,Vis.
2455206.5,6.7,Vis.
2455211.69306,6.7,Vis.
2455217.9,6.7,Vis.
2455811.3,6.7,Vis.
2456178.34028,6.7,Vis.
2456181.33403,6.7,Vis.
2456184.30764,6.7,Vis.
2456188.29792,6.7,Vis.
2456539.46667,6.7,Vis.
2456539.6403,6.7,Vis.
2456540.38264,6.7,Vis.
2456541.35694,6.7,Vis.
2456542.35764,6.7,Vis.
2456549.71458,6.7,Vis.
2456556.555,6.7,Vis.
2456560.28,6.7,Vis.
2456562.56389,6.7,Vis.
2456564.37778,6.7,Vis.
2456567.30556,6.7,Vis.
2456568.4632,6.7,Vis.
2457117.6181,6.7,Vis.
2457122.3,6.7,Vis.
2457693.3458,6.7,Vis.
2457703.3153,6.7,Vis.
2458084.46944,6.7,Vis.
2458089.2361,6.7,Vis.
2458091.2083,6.7,Vis.
