JD,Magnitude,Band
2456660.21,11.9,Vis.
2456660.2944,12.6,Vis.
2456661.5,12.4,Vis.
2456662.2417,12.2,Vis.
2456662.48958,7.5,Vis.
2456663.2243,12.3,Vis.
2456667.33,11.5,Vis.
2456668.2,12,Vis.
2456668.2,12,Vis.
2456669.52986,12.2,Vis.
2456670.1903,12.3,Vis.
2456672.50139,12.3,Vis.
2456676.2542,12.2,Vis.
2456679.5,12,Vis.
2456680.01528,11.9,Vis.
2456686,11.7,Vis.
2456686.98542,11.4,Vis.
2456690.6826,11.2,Vis.
2456691.2576,11.2,Vis.
2456694.21597,10.6,Vis.
2456697.9,10.5,Vis.
2456698.291,11.2,Vis.
2456699,10.9,Vis.
2456703.00764,10.5,Vis.
2456709.6,8.9,Vis.
2456710.2757,10.3,Vis.
2456710.6785,10.5,Vis.
2456711,10.1,Vis.
2456711.659,10.3,Vis.
2456712,9.8,Vis.
2456712.6868,10.3,Vis.
2456712.8,10.3,Vis.
2456714.61,8.9,Vis.
2456714.736,9.5,Vis.
2456715.95278,9.7,Vis.
2456715.99792,9.7,Vis.
2456717.58,8.9,Vis.
2456717.59,8.9,Vis.
2456719.6576,10,Vis.
2456721.635,9.4,Vis.
2456721.7,9,Vis.
2456721.9,9.2,Vis.
2456722.52,8.8,Vis.
2456723.51,8.9,Vis.
2456723.9,9.4,Vis.
2456724.6,9,Vis.
2456725.712,9.3,Vis.
2456726.52,8.8,Vis.
2456726.6569,9.5,Vis.
2456729.53,8.8,Vis.
2456729.6375,9.3,Vis.
2456729.92778,8.7,Vis.
2456730.6521,9.2,Vis.
2456732.9,8.4,Vis.
2456735.90694,8.6,Vis.
2456737.622,8.5,Vis.
2456737.6417,8.8,Vis.
2456738.52,8.7,Vis.
2456738.53889,8.6,Vis.
2456739.4,8.5,Vis.
2456739.9,8.6,Vis.
2456740.51,8.5,Vis.
2456741.4333,8.7,Vis.
2456742.674,8.3,Vis.
2456743.8,8,Vis.
2456744.6403,8.5,Vis.
2456745.3583,8.5,Vis.
2456745.4618,8.3,Vis.
2456745.5,8.2,Vis.
2456745.95486,7.8,Vis.
2456746.3472,8.1,Vis.
2456746.51,7.9,Vis.
2456746.51528,8.2,Vis.
2456746.6,8.2,Vis.
2456747.8688,8.2,Vis.
2456748.6294,8.4,Vis.
2456752.36042,8.4,Vis.
2456752.8,8.1,Vis.
2456753.8,7.9,Vis.
2456756.6514,8.7,Vis.
2456756.95208,7.9,Vis.
2456757.39722,8.5,Vis.
2456757.58,7.8,Vis.
2456757.7,8.1,Vis.
2456761.57,7.7,Vis.
2456762.573,8.3,Vis.
2456762.6,8.1,Vis.
2456763.9,7.9,Vis.
2456764.4069,8.3,Vis.
2456765.545,8.2,Vis.
2456765.56,7.8,Vis.
2456766.3556,8.1,Vis.
2456767.38264,8.6,Vis.
2456767.41389,8,Vis.
2456768,8.1,Vis.
2456768.58,7.7,Vis.
2456769.39653,8.6,Vis.
2456769.4,8.4,Vis.
2456769.4,7.4,Vis.
2456770.9,7.9,Vis.
2456771.5799,8.1,Vis.
2456772.3,8.5,Vis.
2456772.6146,8.1,Vis.
2456773.3507,8.3,Vis.
2456774.576,8.4,Vis.
2456774.7,8,Vis.
2456776.3813,8.4,Vis.
2456776.4063,8.1,Vis.
2456777.3993,8.5,Vis.
2456777.57,7.7,Vis.
2456777.92014,8.1,Vis.
2456778.3614,8.4,Vis.
2456778.4167,8.7,Vis.
2456780.507,8.5,Vis.
2456780.58,7.8,Vis.
2456781.3,8,Vis.
2456781.4014,8.6,Vis.
2456781.5,8.7,Vis.
2456781.5125,8.3,Vis.
2456782.4007,8.6,Vis.
2456782.9375,8.1,Vis.
2456783.3917,8.6,Vis.
2456783.8,8.5,Vis.
2456784.384,8.5,Vis.
2456784.9,8.3,Vis.
2456786.37,8.3,Vis.
2456790.48,8.8,Vis.
2456791.3618,8.8,Vis.
2456791.4,8.9,Vis.
2456792.92153,8.6,Vis.
2456793.45,8.9,Vis.
2456794.5257,9.2,Vis.
2456795.6,8.9,Vis.
2456796.451,9.2,Vis.
2456796.5,8.6,Vis.
2456797.3882,9.2,Vis.
2456798.3885,9.1,Vis.
2456798.39,8.7,Vis.
2456798.4306,9.2,Vis.
2456798.4347,9.1,Vis.
2456798.56,8.8,Vis.
2456799.3,9.9,Vis.
2456799.3,11.9,Vis.
2456799.47222,8.14,Vis.
2456799.8,9.4,Vis.
2456800.31597,9.1,Vis.
2456800.5,9,Vis.
2456801.4528,9.2,Vis.
2456802.4181,9.3,Vis.
2456802.61,8.9,Vis.
2456803.4167,9.2,Vis.
2456803.573,9.6,Vis.
2456807.6,9.4,Vis.
2456808.5,9.7,Vis.
2456808.78264,9.8,Vis.
2456808.87361,9.7,Vis.
2456809.31597,9.3,Vis.
2456809.45208,9.2,Vis.
2456809.6,9.4,Vis.
2456810.4431,10,Vis.
2456810.638,10,Vis.
2456810.7,10.2,Vis.
2456811.43,9.7,Vis.
2456812.3667,10.2,Vis.
2456812.65,10.1,Vis.
2456813.42,9.9,Vis.
2456813.47708,9.9,Vis.
2456813.67014,10.3,Vis.
2456814.4215,10.5,Vis.
2456814.44,9.8,Vis.
2456814.66667,10.1,Vis.
2456815.31389,9.8,Vis.
2456815.39,10,Vis.
2456815.4,10.4,Vis.
2456815.46,10.7,Vis.
2456815.4625,10.5,Vis.
2456816.43,10.1,Vis.
2456817.4,9.9,Vis.
2456817.4,10.8,Vis.
2456817.4792,11,Vis.
2456818.6,10.2,Vis.
2456819.43,10.6,Vis.
2456820.43681,10.9,Vis.
2456821.4785,11.1,Vis.
2456822.30694,10.5,Vis.
2456824.4778,11.1,Vis.
2456825.5,11,Vis.
2456826.4375,11.5,Vis.
2456826.7,11.2,Vis.
2456827.4,11.4,Vis.
2456827.42,11.2,Vis.
2456828.6819,11.3,Vis.
2456828.7,11.4,Vis.
2456830.45,11,Vis.
2456831.4139,12.3,Vis.
2456831.5174,11.5,Vis.
2456832.3,11.8,Vis.
2456832.64931,11.8,Vis.
2456835.4854,11.9,Vis.
2456836.30417,11.8,Vis.
2456836.8,12,Vis.
2456837.4,11.3,Vis.
2456837.51,11.9,Vis.
2456837.662,12,Vis.
2456840.3772,12,Vis.
2456841.5,12,Vis.
2456841.65764,12,Vis.
2456842.34,12,Vis.
2456842.76597,12.8,Vis.
2456844.5278,12,Vis.
2456846.3,12,Vis.
2456846.37,10.9,Vis.
2456855.4083,12.7,Vis.
2456855.6,12.3,Vis.
2456856.4167,12.4,Vis.
2456858.5354,12.4,Vis.
2456859.4292,12.5,Vis.
2456860.4729,12.1,Vis.
2456861.3618,12.5,Vis.
2456862.41042,12,Vis.
2456862.6771,12.1,Vis.
2456864.3961,11.8,Vis.
2456864.79722,12,Vis.
2456865.5,12.4,Vis.
2456867.8285,12.5,Vis.
2456869.3,11.9,Vis.
2456869.4736,11.8,Vis.
2456869.5722,12,Vis.
2456869.6,12.3,Vis.
2456870.3896,12.2,Vis.
2456870.6,12.1,Vis.
2456874.627,12.1,Vis.
2456875.8,11.8,Vis.
2456882.3,11.5,Vis.
2456882.5306,11.8,Vis.
2456883.631,11,Vis.
2456883.9,11.3,Vis.
2456884.59028,12,Vis.
2456884.6,11.3,Vis.
2456887.36,11,Vis.
2456887.611,11,Vis.
2456888.4,11.2,Vis.
2456888.4035,11.2,Vis.
2456888.49167,10.8,Vis.
2456889.42847,10.8,Vis.
2456889.5021,11.5,Vis.
2456891.3931,11.4,Vis.
2456891.49,11,Vis.
2456891.6618,11,Vis.
2456892.3,10.9,Vis.
2456892.69028,10.7,Vis.
2456894.6,10.7,Vis.
2456894.741,11,Vis.
2456895.4145,11,Vis.
2456895.4364,10.6,Vis.
2456896.35208,11,Vis.
2456896.4868,9.3,Vis.
2456896.9,10.2,Vis.
2456897.44,10.3,Vis.
2456897.5201,11,Vis.
2456898.587,10,Vis.
2456900.5,9.7,Vis.
2456903.5174,9.3,Vis.
2456903.7,9.8,Vis.
2456904.24444,9,Vis.
2456905.3958,9.7,Vis.
2456906.577,9.5,Vis.
2456907.4431,9.6,Vis.
2456907.6,9.1,Vis.
2456908.3063,9.6,Vis.
2456909.3,9.6,Vis.
2456910.38,8.9,Vis.
2456911.66875,8.9,Vis.
2456912.4139,8.7,Vis.
2456913.24306,8.7,Vis.
2456913.3514,8.6,Vis.
2456913.6,8.5,Vis.
2456914.47,8.6,Vis.
2456914.6,8.8,Vis.
2456915.3382,8.7,Vis.
2456915.35417,8.7,Vis.
2456916.3556,8.7,Vis.
2456917.2708,8.5,Vis.
2456917.3,8.2,Vis.
2456917.61111,8.5,Vis.
2456917.7,8.1,Vis.
2456918.31944,8,Vis.
2456919.3,7.3,Vis.
2456919.31,8.5,Vis.
2456919.319,8.3,Vis.
2456919.3556,8.2,Vis.
2456919.3667,8.3,Vis.
2456919.38,7.8,Vis.
2456919.3859,8.5,Vis.
2456920.26458,8.1,Vis.
2456920.48,7.8,Vis.
2456920.635,8,Vis.
2456922.62014,7.7,Vis.
2456923.3389,7.9,Vis.
2456924.2903,7.8,Vis.
2456924.35,8.2,Vis.
2456924.356,7.3,Vis.
2456924.4201,7.6,Vis.
2456924.5,7.8,Vis.
2456925.4,7.5,Vis.
2456926.48,7.5,Vis.
2456926.6,7.5,Vis.
2456926.64895,7.6,Vis.
2456926.76181,8.1,Vis.
2456927.33,7.7,Vis.
2456927.5,7.3,Vis.
2456927.6,7.5,Vis.
2456928.266,7.5,Vis.
2456928.3417,7.5,Vis.
2456928.3576,7.7,Vis.
2456928.38819,7.4,Vis.
2456928.45139,7.8,Vis.
2456929.3,8.3,Vis.
2456929.339,8.1,Vis.
2456929.36,7.5,Vis.
2456929.5306,7.5,Vis.
2456930.24,7.2,Vis.
2456930.3,7.8,Vis.
2456930.60694,7.4,Vis.
2456930.75069,7.5,Vis.
2456931.3,7.6,Vis.
2456931.34,7.4,Vis.
2456932.3,7.5,Vis.
2456932.38,7.5,Vis.
2456932.413,7.4,Vis.
2456932.5,7.4,Vis.
2456932.6,7.4,Vis.
2456933.2826,7.5,Vis.
2456933.31667,7.3,Vis.
2456934.2986,7.5,Vis.
2456934.3431,7.6,Vis.
2456934.35556,7.5,Vis.
2456934.36458,7.7,Vis.
2456935.28819,7.2,Vis.
2456935.3354,7.4,Vis.
2456935.3451,7.5,Vis.
2456935.4625,7.5,Vis.
2456936.2715,7.3,Vis.
2456936.363,7.28,Vis.
2456937.35625,7,Vis.
2456937.61597,7.5,Vis.
2456938.28,7.3,Vis.
2456939.285,7.7,Vis.
2456939.38056,7.3,Vis.
2456940.2,8,Vis.
2456940.2812,7.3,Vis.
2456940.3389,7.8,Vis.
2456940.37,7.5,Vis.
2456940.6,7.4,Vis.
2456940.608,7.7,Vis.
2456941.3,7.3,Vis.
2456941.31,7.3,Vis.
2456942.5,7.3,Vis.
2456942.6,7.4,Vis.
2456943.2939,8.6,Vis.
2456944.27,8,Vis.
2456944.3072,7.5,Vis.
2456944.395,7.61,Vis.
2456945.3688,7.9,Vis.
2456946.359,7.9,Vis.
2456946.4,7.6,Vis.
2456946.41042,7,Vis.
2456946.58681,7.6,Vis.
2456947.62986,7.1,Vis.
2456948.3069,7.6,Vis.
2456949.2438,7.6,Vis.
2456949.3,7.5,Vis.
2456949.3,7.5,Vis.
2456949.351,7.58,Vis.
2456949.3771,7.3,Vis.
2456950.19722,7.3,Vis.
2456950.23403,7.3,Vis.
2456950.2826,7.6,Vis.
2456950.3042,7.3,Vis.
2456950.38,7,Vis.
2456950.588,8.1,Vis.
2456951.24583,7.2,Vis.
2456951.28125,7.3,Vis.
2456951.3,7.8,Vis.
2456952.2,8.5,Vis.
2456952.313,8.2,Vis.
2456952.4,7.3,Vis.
2456953.33,6.8,Vis.
2456953.35417,7.4,Vis.
2456953.55486,8,Vis.
2456953.6,7.7,Vis.
2456954.29861,7.4,Vis.
2456954.43889,7.9,Vis.
2456954.5361,7.5,Vis.
2456955.25,7.6,Vis.
2456955.2868,7.4,Vis.
2456955.29653,7.6,Vis.
2456955.333,8.2,Vis.
2456955.38,7.6,Vis.
2456955.56667,7.6,Vis.
2456956.32,7.7,Vis.
2456956.326,8,Vis.
2456956.3583,7.6,Vis.
2456957.4028,7.6,Vis.
2456957.7,7.5,Vis.
2456957.70208,7.8,Vis.
2456958.2,7.4,Vis.
2456958.2438,7.6,Vis.
2456958.25,7.5,Vis.
2456958.2535,7.6,Vis.
2456958.3,7.2,Vis.
2456958.34,8.2,Vis.
2456958.4292,7.2,Vis.
2456958.546,8,Vis.
2456959.2917,7.6,Vis.
2456959.5,7.5,Vis.
2456960.4,7.5,Vis.
2456960.6007,7.3,Vis.
2456962.3229,7.6,Vis.
2456962.383,7.26,Vis.
2456962.63403,7.9,Vis.
2456963.28125,7.7,Vis.
2456963.3181,7.6,Vis.
2456964.3069,7.6,Vis.
2456965.2333,7.7,Vis.
2456965.27,8.2,Vis.
2456966.2,8.3,Vis.
2456966.3,7.5,Vis.
2456967.23403,7.8,Vis.
2456967.2587,7.7,Vis.
2456967.3125,8,Vis.
2456967.34,7,Vis.
2456969.3396,8.1,Vis.
2456969.55903,8,Vis.
2456969.636,8.3,Vis.
2456969.7,7.8,Vis.
2456970.25,7.8,Vis.
2456971.2244,8.1,Vis.
2456971.3118,7.6,Vis.
2456971.35,7.8,Vis.
2456971.60833,8,Vis.
2456972.25069,8,Vis.
2456972.3,7.9,Vis.
2456973.2347,7.6,Vis.
2456973.2375,7.8,Vis.
2456973.3917,8.1,Vis.
2456974.337,8.4,Vis.
2456974.3431,8.2,Vis.
2456974.376,7.58,Vis.
2456977.2,8.2,Vis.
2456977.2354,7.9,Vis.
2456977.48611,8.3,Vis.
2456978.20903,8.2,Vis.
